2025-11-21 13:50:15 | INFO     | logger.py:76 | ✅ Logger initialized: mcp_server
2025-11-21 13:50:15 | DEBUG    | logger.py:77 | Log file: /Users/pond500/RAG/mcp_rag-main/logs/server.log
2025-11-21 13:50:15 | INFO     | <stdin>:3 | Testing logger...
2025-11-21 13:50:15 | DEBUG    | <stdin>:4 | This is a debug message
2025-11-21 13:50:15 | WARNING  | <stdin>:5 | This is a warning
2025-11-21 13:50:15 | ERROR    | <stdin>:6 | This is an error
2025-11-21 13:50:41 | INFO     | logger.py:76 | ✅ Logger initialized: mcp_server
2025-11-21 13:50:41 | DEBUG    | logger.py:77 | Log file: /Users/pond500/RAG/mcp_rag-main/logs/server.log
2025-11-21 13:50:41 | INFO     | multi_kb_rag.py:45 | 🚀 Initializing Multi-Knowledge Base RAG System...
2025-11-21 13:50:41 | DEBUG    | multi_kb_rag.py:52 | Qdrant client: localhost:6333
2025-11-21 13:50:50 | INFO     | multi_kb_rag.py:82 | ✅ Multi-KB RAG System initialized
2025-11-21 13:51:07 | INFO     | logger.py:76 | ✅ Logger initialized: mcp_server
2025-11-21 13:51:07 | DEBUG    | logger.py:77 | Log file: /Users/pond500/RAG/mcp_rag-main/logs/server.log
2025-11-21 13:51:08 | INFO     | mcp_server_multi_kb.py:38 | 🚀 Starting Multi-KB MCP Server...
2025-11-21 13:51:08 | INFO     | multi_kb_rag.py:45 | 🚀 Initializing Multi-Knowledge Base RAG System...
2025-11-21 13:51:08 | DEBUG    | multi_kb_rag.py:52 | Qdrant client: localhost:6333
2025-11-21 13:51:15 | INFO     | multi_kb_rag.py:82 | ✅ Multi-KB RAG System initialized
2025-11-21 13:51:15 | INFO     | mcp_server_multi_kb.py:43 | ✅ Multi-KB MCP Server ready
2025-11-21 13:51:15 | INFO     | mcp_server_multi_kb.py:47 | 🛑 Shutting down Multi-KB MCP Server...
2025-11-21 13:51:33 | INFO     | logger.py:76 | ✅ Logger initialized: mcp_server
2025-11-21 13:51:33 | DEBUG    | logger.py:77 | Log file: /Users/pond500/RAG/mcp_rag-main/logs/server.log
2025-11-21 13:51:34 | INFO     | mcp_server_multi_kb.py:38 | 🚀 Starting Multi-KB MCP Server...
2025-11-21 13:51:34 | INFO     | multi_kb_rag.py:45 | 🚀 Initializing Multi-Knowledge Base RAG System...
2025-11-21 13:51:34 | DEBUG    | multi_kb_rag.py:52 | Qdrant client: localhost:6333
2025-11-21 13:51:39 | INFO     | multi_kb_rag.py:82 | ✅ Multi-KB RAG System initialized
2025-11-21 13:51:39 | INFO     | mcp_server_multi_kb.py:43 | ✅ Multi-KB MCP Server ready
2025-11-21 13:51:39 | INFO     | mcp_server_multi_kb.py:76 | 📥 POST /mcp
2025-11-21 13:51:39 | DEBUG    | mcp_server_multi_kb.py:77 | Headers: {'host': 'localhost:8000', 'user-agent': 'curl/8.7.1', 'accept': '*/*', 'content-type': 'application/json', 'content-length': '151'}
2025-11-21 13:51:39 | DEBUG    | mcp_server_multi_kb.py:273 | MCP Method: initialize, ID: 1
2025-11-21 13:51:39 | INFO     | mcp_server_multi_kb.py:347 | ✅ Initialize: Registered 8 tools (including 🌐 chat_global)
2025-11-21 13:51:39 | DEBUG    | mcp_server_multi_kb.py:348 | Tools: ['create_collection', 'list_collections', 'get_collection_info', 'upload_document_to_kb', 'chat_with_kb', 'chat_global', 'clear_chat_history', 'delete_collection']
2025-11-21 13:51:39 | INFO     | mcp_server_multi_kb.py:87 | 📤 POST /mcp → 200 (0.88ms)
2025-11-21 13:51:42 | INFO     | mcp_server_multi_kb.py:47 | 🛑 Shutting down Multi-KB MCP Server...
2025-11-21 13:54:16 | INFO     | logger.py:76 | ✅ Logger initialized: mcp_server
2025-11-21 13:54:16 | DEBUG    | logger.py:77 | Log file: /Users/pond500/RAG/mcp_rag-main/logs/server.log
2025-11-21 13:54:16 | INFO     | mcp_server_multi_kb.py:38 | 🚀 Starting Multi-KB MCP Server...
2025-11-21 13:54:16 | INFO     | multi_kb_rag.py:45 | 🚀 Initializing Multi-Knowledge Base RAG System...
2025-11-21 13:54:17 | DEBUG    | multi_kb_rag.py:52 | Qdrant client: localhost:6333
2025-11-21 13:54:23 | INFO     | multi_kb_rag.py:82 | ✅ Multi-KB RAG System initialized
2025-11-21 13:54:23 | INFO     | mcp_server_multi_kb.py:43 | ✅ Multi-KB MCP Server ready
2025-11-21 13:54:47 | INFO     | mcp_server_multi_kb.py:76 | 📥 POST /mcp
2025-11-21 13:54:47 | DEBUG    | mcp_server_multi_kb.py:77 | Headers: {'host': 'af7ca5cd5752.ngrok-free.app', 'user-agent': 'python-httpx/0.27.2', 'content-length': '169', 'accept': 'application/json, text/event-stream', 'accept-encoding': 'gzip, deflate, br, zstd', 'baggage': 'sentry-environment=production,sentry-public_key=c0bcc0e36783694f41e4fb1e6a3efea9,sentry-trace_id=3b944064e6f34b6081096b9c3f6a6a4e,sentry-sample_rate=0.0,sentry-sampled=false,sentry-sample_rand=0.403171', 'content-type': 'application/json', 'sentry-trace': '3b944064e6f34b6081096b9c3f6a6a4e-a1afc4da9ca01017-0', 'traceparent': '00-91c4eb4b2a181259a651ea60464415d2-62dd648bc0a6702b-00', 'x-b3-sampled': '0', 'x-b3-spanid': '62dd648bc0a6702b', 'x-b3-traceid': '91c4eb4b2a181259a651ea60464415d2', 'x-forwarded-for': '3.214.24.53', 'x-forwarded-host': 'af7ca5cd5752.ngrok-free.app', 'x-forwarded-proto': 'https'}
2025-11-21 13:54:47 | DEBUG    | mcp_server_multi_kb.py:273 | MCP Method: initialize, ID: 0
2025-11-21 13:54:47 | INFO     | mcp_server_multi_kb.py:347 | ✅ Initialize: Registered 8 tools (including 🌐 chat_global)
2025-11-21 13:54:47 | DEBUG    | mcp_server_multi_kb.py:348 | Tools: ['create_collection', 'list_collections', 'get_collection_info', 'upload_document_to_kb', 'chat_with_kb', 'chat_global', 'clear_chat_history', 'delete_collection']
2025-11-21 13:54:47 | INFO     | mcp_server_multi_kb.py:87 | 📤 POST /mcp → 200 (2.17ms)
2025-11-21 13:54:47 | INFO     | mcp_server_multi_kb.py:76 | 📥 POST /mcp
2025-11-21 13:54:47 | DEBUG    | mcp_server_multi_kb.py:77 | Headers: {'host': 'af7ca5cd5752.ngrok-free.app', 'user-agent': 'python-httpx/0.27.2', 'content-length': '57', 'accept': 'application/json, text/event-stream', 'accept-encoding': 'gzip, deflate, br, zstd', 'baggage': 'sentry-environment=production,sentry-public_key=c0bcc0e36783694f41e4fb1e6a3efea9,sentry-trace_id=3b944064e6f34b6081096b9c3f6a6a4e,sentry-sample_rate=0.0,sentry-sampled=false,sentry-sample_rand=0.403171', 'content-type': 'application/json', 'sentry-trace': '3b944064e6f34b6081096b9c3f6a6a4e-86e9b11e5223619d-0', 'traceparent': '00-616e384664edb94d2e0e16eb709e1566-9a4e98d86ce81a84-00', 'x-b3-sampled': '0', 'x-b3-spanid': '9a4e98d86ce81a84', 'x-b3-traceid': '616e384664edb94d2e0e16eb709e1566', 'x-forwarded-for': '3.214.24.53', 'x-forwarded-host': 'af7ca5cd5752.ngrok-free.app', 'x-forwarded-proto': 'https'}
2025-11-21 13:54:47 | DEBUG    | mcp_server_multi_kb.py:273 | MCP Method: notifications/initialized, ID: None
2025-11-21 13:54:47 | DEBUG    | mcp_server_multi_kb.py:284 | Notification acknowledged: notifications/initialized
2025-11-21 13:54:47 | INFO     | mcp_server_multi_kb.py:87 | 📤 POST /mcp → 202 (2.41ms)
2025-11-21 13:54:48 | INFO     | mcp_server_multi_kb.py:76 | 📥 POST /mcp
2025-11-21 13:54:48 | DEBUG    | mcp_server_multi_kb.py:77 | Headers: {'host': 'af7ca5cd5752.ngrok-free.app', 'user-agent': 'python-httpx/0.27.2', 'content-length': '51', 'accept': 'application/json, text/event-stream', 'accept-encoding': 'gzip, deflate, br, zstd', 'baggage': 'sentry-environment=production,sentry-public_key=c0bcc0e36783694f41e4fb1e6a3efea9,sentry-trace_id=3b944064e6f34b6081096b9c3f6a6a4e,sentry-sample_rate=0.0,sentry-sampled=false,sentry-sample_rand=0.403171', 'content-type': 'application/json', 'sentry-trace': '3b944064e6f34b6081096b9c3f6a6a4e-a38acd245c5e296f-0', 'traceparent': '00-0856c35ef6ac3cfdc725626a33629ad4-19a042ab04d8f69b-00', 'x-b3-sampled': '0', 'x-b3-spanid': '19a042ab04d8f69b', 'x-b3-traceid': '0856c35ef6ac3cfdc725626a33629ad4', 'x-forwarded-for': '3.214.24.53', 'x-forwarded-host': 'af7ca5cd5752.ngrok-free.app', 'x-forwarded-proto': 'https'}
2025-11-21 13:54:48 | DEBUG    | mcp_server_multi_kb.py:273 | MCP Method: tools/list, ID: 1
2025-11-21 13:54:48 | INFO     | mcp_server_multi_kb.py:87 | 📤 POST /mcp → 200 (2.24ms)
2025-11-21 13:54:50 | INFO     | mcp_server_multi_kb.py:76 | 📥 POST /mcp
